Centre;Action;Bague;Date;Heure;Espece;Sexe;Age;Dept;Localite;lieudit;LP;MA;AD;Condrepr;Circrepr;Theme;Bagueur;HS;DS;FS;RE;CS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 FRP ;C;544449;19/03/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544212;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544887;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;579820;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544699;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544927;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544584;24/04/2009;23H00;CALDIO;F;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544073;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544696;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544500;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544723;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544179;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;544700;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;C;578936;24/04/2009;23H00;CALDIO;?;+2A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
